ISO code,Country,Variable code,Variable name,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
COD,D.R. of the Congo,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),72591.71875,66291.10156,61456.17578,61590.41797,66699.07031,66871.60156,51845.71484,42690.07031,55662.12891,42931.93359,32346.78516,33967.61719,30182.30273,30886.82813,27115.3457,28358.97461,25705.72852,25479.61914,26599.53516,28641.75781,31422.72266,34397.74219,36269.75,39800.10156,39983.98828,40790.71094,46849.88281,50489.32813,53511.00391
COD,D.R. of the Congo,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),66242.66406,63984.80469,60079.86328,58594.24609,62968.73828,64602.06641,50509.15625,41150.36328,53841.53125,42064,30943.44922,32198.46484,28766.52148,29605.44922,26837.74805,27913.23438,25223.85352,25224.07813,26252.96289,28494.42969,31464.0293,34629.80859,37729.11719,40223.16406,39864.32031,40940.07422,45815.82813,49814.45313,52962.13281
COD,D.R. of the Congo,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.234713793,1.246881008,1.26712358,1.287694812,1.308599949,1.329844594,1.351433992,1.376090407,1.401196718,1.426761031,1.452791691,1.4792974,1.493782878,1.508410096,1.523180604,1.538095832,1.553157091,1.561196089,1.56927669,1.577399135,1.58556366,1.593770504,1.599514127,1.605278492,1.6110636,1.616869569,1.6226964,1.628678679,1.63472867
COD,D.R. of the Congo,pop,Population (in millions),29.119673,29.881229,30.683869,31.528708,32.443781,33.464765,34.612023,35.908244,37.333914,38.815834,40.252975,41.576234,42.757243,43.82718,44.849967,45.919613,47.105826,48.428545,49.871666,51.42558,53.06888,54.785903,56.578037,58.453683,60.411195,62.448574,64.563854,66.755153,69.020747
COD,D.R. of the Congo,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),72642.64063,66205.53125,61359.14453,61539.86328,66664.42969,66902.01563,52290.13281,43086.46094,56065.64453,43422.73828,32698.85742,34214.52734,30407.51758,31138.28906,27471.36523,28707.66602,26065.49414,25808.45313,26910.11719,28985.99414,31811.05859,34180.79297,36209.99219,39709.71875,39597.33203,40575.53516,46459.375,49848.97656,53205.30078
COD,D.R. of the Congo,rgdpo,Output-side real GDP at chained PPPs (in mil. 2017US$),66699.39844,64053.46484,60423.80078,59113.0625,63540.23047,65274.98828,51503.08984,42219.14063,54573.10938,42911.03516,31580.26953,32856.15625,29417.17383,30255.14844,27435.77539,28455.75391,25657.19141,25649.0957,26641.26563,29050.10352,32086.69727,34905.73438,38060.875,40470.33594,40075.79688,41042.09375,45981.02344,49819.11719,53398.21875
NGA,Nigeria,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2017US$),214779.4531,284840.4375,159108.2188,114830.7734,95652.70313,86969.49219,83344.13281,75182.44531,72269.33594,60848.07031,49470,47600.05859,48832.51953,53114.76172,53615.05469,64576.61328,91797,111609.8594,152035.375,208608.5781,286225.9375,492895.2813,570886.6875,623486.9375,635433.8125,695488.5625,796198.8125,852696.875,883112
NGA,Nigeria,cgdpo,Output-side real GDP at current PPPs (in mil. 2017US$),229541.75,300258.8125,161753.0469,118266.6328,102831.9141,92062.77344,96045.30469,77605.51563,90330.07813,71423.40625,57764.04297,51696.09766,51745.82031,55394.57813,55166.46094,85299.78906,119590.5703,125884.3984,168533.5,222586.8125,301597.6563,492430.3438,570146.6875,628266.9375,650202.25,695897,798407.4375,861913.375,881059.875
NGA,Nigeria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.205040574,1.207948208,1.210862875,1.213784575,1.216713309,1.219649076,1.222591996,1.244433284,1.266664743,1.289293289,1.312326193,1.335770607,1.359633684,1.383923292,1.408646703,1.433811665,1.459426403,1.48831892,1.517783523,1.547831416,1.578474164,1.609723568,1.641591668,1.674090505,1.707232952,1.733126879,1.758925676,1.781640649,1.804648995
NGA,Nigeria,pop,Population (in millions),81.448755,83.562785,85.766399,88.048032,90.395271,92.788027,95.21245,97.667632,100.16171,102.700753,105.2937,107.948335,110.668794,113.457663,116.319759,119.260063,122.28385,125.394046,128.596076,131.900631,135.320422,138.865016,142.538308,146.339977,150.269623,154.324933,158.503197,162.805077,167.228794
